#;Time;RL points;Agent name;Learning type;Won episode;Episode iterations;Episode time [s];Interest in enemy [%]
1;12.01.2022 04:19:57;-49,11414;Madox;Self play;Win;1;122;100%
2;12.01.2022 04:19:57;-64,52608;Jack;Self play;Fail;1;122;100%
3;12.01.2022 04:20:07;-54,27014;Madox;Self play;Fail;1;95;100%
4;12.01.2022 04:20:07;-36,69443;Jack;Self play;Win;1;95;100%
5;12.01.2022 04:20:20;-50,53048;Madox;Self play;Win;1;122;100%
6;12.01.2022 04:20:20;-62,56955;Jack;Self play;Fail;1;122;100%
7;12.01.2022 04:20:29;-44,48984;Madox;Self play;Fail;1;76;100%
8;12.01.2022 04:20:29;-27,9831;Jack;Self play;Win;1;76;100%
9;12.01.2022 04:20:40;-57,20214;Madox;Self play;Fail;1;103;99%
10;12.01.2022 04:20:40;-38,01293;Jack;Self play;Win;1;103;99%
11;12.01.2022 04:20:49;-29,70516;Madox;Self play;Win;1;74;100%
12;12.01.2022 04:20:49;-38,1259;Jack;Self play;Fail;1;74;100%
13;12.01.2022 04:21:34;-195,7106;Madox;Self play;Fail;2;396;100%
14;12.01.2022 04:21:34;-181,455;Jack;Self play;Win;2;396;100%
15;12.01.2022 04:21:42;-23,58806;Madox;Self play;Win;1;69;100%
16;12.01.2022 04:21:42;-36,88253;Jack;Self play;Fail;1;69;100%
17;12.01.2022 04:21:53;-31,29965;Madox;Self play;Win;1;91;100%
18;12.01.2022 04:21:53;-56,09498;Jack;Self play;Fail;1;91;100%
19;12.01.2022 04:22:04;-43,10156;Madox;Self play;Fail;1;90;100%
20;12.01.2022 04:22:04;-35,56733;Jack;Self play;Win;1;90;100%
21;12.01.2022 04:22:13;-39,05976;Madox;Self play;Fail;1;75;68%
22;12.01.2022 04:22:13;-34,27489;Jack;Self play;Win;1;75;68%
23;12.01.2022 04:22:17;-20,83028;Madox;Self play;Fail;1;31;100%
24;12.01.2022 04:22:17;-6,537845;Jack;Self play;Win;1;31;100%
25;12.01.2022 04:22:22;-24,57035;Madox;Self play;Fail;1;40;100%
26;12.01.2022 04:22:22;-10,14948;Jack;Self play;Win;1;40;100%
27;12.01.2022 04:23:18;-244,7211;Madox;Self play;Win;2;469;17%
28;12.01.2022 04:23:18;-253,4444;Jack;Self play;Fail;2;469;17%
29;12.01.2022 04:24:10;-189,0849;Madox;Self play;Fail;2;376;99%
30;12.01.2022 04:24:10;-167,1149;Jack;Self play;Win;2;376;99%
31;12.01.2022 04:24:30;-71,86609;Madox;Self play;Win;1;161;92%
32;12.01.2022 04:24:30;-82,57902;Jack;Self play;Fail;1;161;100%
33;12.01.2022 04:24:50;-70,31929;Madox;Self play;Fail;1;137;100%
34;12.01.2022 04:24:50;-52,95375;Jack;Self play;Win;1;137;100%
35;12.01.2022 04:24:59;-40,12947;Madox;Self play;Fail;1;66;100%
36;12.01.2022 04:24:59;-25,30306;Jack;Self play;Win;1;66;100%
37;12.01.2022 04:28:18;-755,9862;Madox;Self play;Fail;6;1563;67%
38;12.01.2022 04:28:18;-737,7281;Jack;Self play;Win;6;1563;85%
39;12.01.2022 04:28:31;-48,77852;Madox;Self play;Fail;1;97;100%
40;12.01.2022 04:28:31;-33,65262;Jack;Self play;Win;1;97;100%
41;12.01.2022 04:28:39;-37,26487;Madox;Self play;Fail;1;68;100%
42;12.01.2022 04:28:39;-23,95808;Jack;Self play;Win;1;68;100%
43;12.01.2022 04:28:48;-32,00044;Madox;Self play;Win;1;80;100%
44;12.01.2022 04:28:48;-38,15344;Jack;Self play;Fail;1;80;100%
45;12.01.2022 04:28:52;-5,435091;Madox;Self play;Win;1;29;97%
46;12.01.2022 04:28:52;-17,96022;Jack;Self play;Fail;1;29;97%
47;12.01.2022 04:28:57;-14,91032;Madox;Self play;Win;1;45;100%
48;12.01.2022 04:28:57;-23,53531;Jack;Self play;Fail;1;45;100%
49;12.01.2022 04:29:12;-50,64209;Madox;Self play;Win;1;122;35%
50;12.01.2022 04:29:12;-61,31649;Jack;Self play;Fail;1;122;35%
51;12.01.2022 04:29:32;-74,57912;Madox;Self play;Fail;1;163;99%
52;12.01.2022 04:29:32;-57,78062;Jack;Self play;Win;1;163;99%
53;12.01.2022 04:29:42;-30,16572;Madox;Self play;Win;1;83;100%
54;12.01.2022 04:29:42;-43,12918;Jack;Self play;Fail;1;83;100%
55;12.01.2022 04:29:50;-14,14789;Madox;Self play;Win;1;62;100%
56;12.01.2022 04:29:50;-35,36013;Jack;Self play;Fail;1;62;100%
57;12.01.2022 04:30:09;-64,92313;Madox;Self play;Win;1;162;65%
58;12.01.2022 04:30:09;-76,87811;Jack;Self play;Fail;1;162;65%
59;12.01.2022 04:31:07;-216,1084;Madox;Self play;Win;2;471;81%
60;12.01.2022 04:31:07;-207,64;Jack;Self play;Fail;2;471;25%
61;12.01.2022 04:31:20;-38,39933;Madox;Self play;Win;1;109;99%
62;12.01.2022 04:31:20;-51,2445;Jack;Self play;Fail;1;109;100%
63;12.01.2022 04:31:32;-32,72073;Madox;Self play;Win;1;103;88%
64;12.01.2022 04:31:32;-49,99814;Jack;Self play;Fail;1;103;100%
65;12.01.2022 04:33:32;-357,4;Madox;Self play;Fail;4;944;34%
66;12.01.2022 04:33:32;-412,9706;Jack;Self play;Win;4;944;100%
67;12.01.2022 04:33:38;-32,57043;Madox;Self play;Fail;1;55;100%
68;12.01.2022 04:33:38;-13,41527;Jack;Self play;Win;1;55;100%
69;12.01.2022 04:33:41;-4,470046;Madox;Self play;Win;1;21;95%
70;12.01.2022 04:33:41;-12,44512;Jack;Self play;Fail;1;21;95%
71;12.01.2022 04:33:50;-23,59306;Madox;Self play;Win;1;79;100%
72;12.01.2022 04:33:50;-36,21759;Jack;Self play;Fail;1;79;100%
73;12.01.2022 04:34:34;-123,6142;Madox;Self play;Fail;2;375;100%
74;12.01.2022 04:34:34;-135,6109;Jack;Self play;Win;2;375;100%
75;12.01.2022 04:35:52;-232,0321;Madox;Self play;Win;3;674;100%
76;12.01.2022 04:35:52;-255,7716;Jack;Self play;Fail;3;674;100%
77;12.01.2022 04:37:14;-265,7641;Madox;Self play;Win;3;654;15%
78;12.01.2022 04:37:14;-269,2161;Jack;Self play;Fail;3;654;21%
79;12.01.2022 04:37:36;-90,27052;Madox;Self play;Fail;1;191;48%
80;12.01.2022 04:37:36;-73,39305;Jack;Self play;Win;1;191;48%
81;12.01.2022 04:37:47;-49,76594;Madox;Self play;Fail;1;89;100%
82;12.01.2022 04:37:47;-25,93559;Jack;Self play;Win;1;89;100%
83;12.01.2022 04:37:56;-40,47449;Madox;Self play;Fail;1;79;100%
84;12.01.2022 04:37:56;-22,96629;Jack;Self play;Win;1;79;100%
85;12.01.2022 04:37:58;-7,310044;Madox;Self play;Fail;1;13;100%
86;12.01.2022 04:37:58;-4,735053;Jack;Self play;Win;1;13;100%
87;12.01.2022 04:38:08;-49,05346;Madox;Self play;Fail;1;93;51%
88;12.01.2022 04:38:08;-33,79507;Jack;Self play;Win;1;93;51%
89;12.01.2022 04:39:19;-277,1747;Madox;Self play;Win;3;632;52%
90;12.01.2022 04:39:19;-224,3389;Jack;Self play;Fail;3;632;13%
91;12.01.2022 04:39:30;-35,72962;Madox;Self play;Win;1;101;96%
92;12.01.2022 04:39:30;-39,21208;Jack;Self play;Fail;1;101;96%
93;12.01.2022 04:40:01;-96,48374;Madox;Self play;Win;1;279;25%
94;12.01.2022 04:40:01;-118,765;Jack;Self play;Fail;1;279;25%
95;12.01.2022 04:40:06;-12,92028;Madox;Self play;Win;1;38;96%
96;12.01.2022 04:40:06;-18,94024;Jack;Self play;Fail;1;38;100%
97;12.01.2022 04:40:10;-4,172336;Madox;Self play;Win;1;38;100%
98;12.01.2022 04:40:10;-21,47128;Jack;Self play;Fail;1;38;100%
99;12.01.2022 04:40:31;-71,553;Madox;Self play;Win;1;177;30%
100;12.01.2022 04:40:31;-82,87168;Jack;Self play;Fail;1;177;30%
101;12.01.2022 04:40:37;-12,39024;Madox;Self play;Win;1;55;100%
102;12.01.2022 04:40:37;-30,50146;Jack;Self play;Fail;1;55;100%
103;12.01.2022 04:41:06;-88,45835;Madox;Self play;Win;1;229;38%
104;12.01.2022 04:41:06;-100,4969;Jack;Self play;Fail;1;229;75%
105;12.01.2022 04:41:10;-8,715806;Madox;Self play;Fail;1;16;100%
106;12.01.2022 04:41:10;-6,000104;Jack;Self play;Win;1;16;100%
107;12.01.2022 04:41:55;-135,1277;Madox;Self play;Win;2;415;100%
108;12.01.2022 04:41:55;-156,4433;Jack;Self play;Fail;2;415;100%
109;12.01.2022 04:41:59;-17,52771;Madox;Self play;Fail;1;35;96%
110;12.01.2022 04:41:59;-9,995242;Jack;Self play;Win;1;35;96%
111;12.01.2022 04:42:09;-37,81987;Madox;Self play;Fail;1;93;100%
112;12.01.2022 04:42:09;-37,13203;Jack;Self play;Win;1;93;100%
113;12.01.2022 04:42:22;-42,71072;Madox;Self play;Fail;1;114;100%
114;12.01.2022 04:42:22;-48,72741;Jack;Self play;Win;1;114;100%
115;12.01.2022 04:42:35;-32,80019;Madox;Self play;Win;1;115;34%
116;12.01.2022 04:42:35;-64,64967;Jack;Self play;Fail;1;115;100%
117;12.01.2022 04:43:24;-124,7898;Madox;Self play;Win;2;437;100%
118;12.01.2022 04:43:24;-229,7645;Jack;Self play;Fail;2;437;100%
119;12.01.2022 04:43:33;-27,61293;Madox;Self play;Fail;1;82;100%
120;12.01.2022 04:43:33;-34,30506;Jack;Self play;Win;1;82;100%
121;12.01.2022 04:43:37;-1,61249;Madox;Self play;Win;1;29;100%
122;12.01.2022 04:43:37;-17,90521;Jack;Self play;Fail;1;29;100%
123;12.01.2022 04:43:47;-34,93698;Madox;Self play;Fail;1;94;100%
124;12.01.2022 04:43:47;-40,00153;Jack;Self play;Win;1;94;100%
125;12.01.2022 04:44:08;-46,94572;Madox;Self play;Win;1;182;100%
126;12.01.2022 04:44:08;-89,43972;Jack;Self play;Fail;1;182;100%
127;12.01.2022 04:44:12;-21,96029;Madox;Self play;Fail;1;42;100%
128;12.01.2022 04:44:12;-10,11796;Jack;Self play;Win;1;42;100%
129;12.01.2022 04:44:57;-99,28865;Madox;Self play;Win;2;409;100%
130;12.01.2022 04:44:57;-135,8387;Jack;Self play;Fail;2;409;100%
131;12.01.2022 04:45:12;-23,10546;Madox;Self play;Win;1;81;61%
132;12.01.2022 04:45:12;-34,82022;Jack;Self play;Fail;1;81;61%
133;12.01.2022 04:45:22;-34,50537;Madox;Self play;Fail;1;94;100%
134;12.01.2022 04:45:22;-30,58319;Jack;Self play;Win;1;94;100%
135;12.01.2022 04:46:05;-106,0205;Madox;Self play;Win;2;389;32%
