#;Time;RL points;Agent name;Learning type;Won episode;Episode iterations;Episode time [s];Interest in enemy [%]
1;31.12.2021 04:49:45;-60,26793;Madox;Self play;Win;1;142;100%
2;31.12.2021 04:49:45;-68,03698;Jack;Self play;Fail;1;142;100%
3;31.12.2021 04:51:11;-192,6002;Madox;Self play;Win;2;410;100%
4;31.12.2021 04:51:11;-209,1662;Jack;Self play;Fail;2;410;100%
5;31.12.2021 04:53:36;-48,74369;Madox;Self play;Win;1;129;100%
6;31.12.2021 04:53:36;-70,03956;Jack;Self play;Fail;1;129;100%
7;31.12.2021 04:55:08;-209,0622;Madox;Self play;Fail;2;406;100%
8;31.12.2021 04:55:08;-187,8885;Jack;Self play;Win;2;406;100%
9;31.12.2021 04:55:25;-28,7437;Madox;Self play;Win;1;83;100%
10;31.12.2021 04:55:25;-48,12595;Jack;Self play;Fail;1;83;100%
11;31.12.2021 04:56:00;-73,39259;Madox;Self play;Win;1;158;63%
12;31.12.2021 04:56:00;-85,74458;Jack;Self play;Fail;1;158;63%
13;31.12.2021 04:57:48;-254,5969;Madox;Self play;Win;2;513;71%
14;31.12.2021 04:57:48;-252,4779;Jack;Self play;Fail;2;513;71%
15;31.12.2021 04:58:00;-18,65289;Madox;Self play;Win;1;53;99%
16;31.12.2021 04:58:00;-31,45049;Jack;Self play;Fail;1;53;99%
17;31.12.2021 04:58:16;-38,93202;Madox;Self play;Fail;1;74;100%
18;31.12.2021 04:58:16;-30,7957;Jack;Self play;Win;1;74;100%
19;31.12.2021 04:59:39;-186,6158;Madox;Self play;Win;2;391;96%
20;31.12.2021 04:59:39;-185,9691;Jack;Self play;Fail;2;391;100%
21;31.12.2021 04:59:45;-9,255212;Madox;Self play;Win;1;29;100%
22;31.12.2021 04:59:45;-21,02025;Jack;Self play;Fail;1;29;100%
23;31.12.2021 05:00:55;-148,1628;Madox;Self play;Win;2;335;94%
24;31.12.2021 05:00:55;-166,0236;Jack;Self play;Fail;2;335;94%
25;31.12.2021 05:02:31;-203,0811;Madox;Self play;Fail;2;444;52%
26;31.12.2021 05:02:31;-207,8235;Jack;Self play;Win;2;444;99%
27;31.12.2021 05:04:59;-361,6404;Madox;Self play;Fail;3;719;50%
28;31.12.2021 05:04:59;-353,3976;Jack;Self play;Win;3;719;47%
29;31.12.2021 05:05:17;-46,63862;Madox;Self play;Fail;1;89;81%
30;31.12.2021 05:05:17;-40,02387;Jack;Self play;Win;1;89;81%
31;31.12.2021 05:08:53;-445,3135;Madox;Self play;Win;4;970;72%
32;31.12.2021 05:08:53;-485,1196;Jack;Self play;Fail;4;970;72%
33;31.12.2021 05:10:12;-165,5232;Madox;Self play;Fail;2;363;99%
34;31.12.2021 05:10:12;-170,941;Jack;Self play;Win;2;363;99%
35;31.12.2021 05:10:25;-23,29303;Madox;Self play;Win;1;68;100%
36;31.12.2021 05:10:25;-37,02424;Jack;Self play;Fail;1;68;100%
37;31.12.2021 05:11:43;-163,9344;Madox;Self play;Win;2;380;100%
38;31.12.2021 05:11:43;-198,4804;Jack;Self play;Fail;2;380;100%
39;31.12.2021 05:12:44;-138,5033;Madox;Self play;Fail;1;281;38%
40;31.12.2021 05:12:44;-129,3919;Jack;Self play;Win;1;281;38%
41;31.12.2021 05:14:03;-171,0504;Madox;Self play;Win;2;395;81%
42;31.12.2021 05:14:03;-179,5812;Jack;Self play;Fail;2;395;38%
43;31.12.2021 05:15:25;-177,1608;Madox;Self play;Win;2;391;23%
44;31.12.2021 05:15:25;-191,9646;Jack;Self play;Fail;2;391;23%
45;31.12.2021 05:15:54;-58,31596;Madox;Self play;Fail;1;122;100%
46;31.12.2021 05:15:54;-45,50305;Jack;Self play;Win;1;122;65%
47;31.12.2021 05:17:21;-176,4003;Madox;Self play;Fail;2;420;30%
48;31.12.2021 05:17:21;-173,2507;Jack;Self play;Win;2;420;86%
49;31.12.2021 05:18:35;-150,7706;Madox;Self play;Win;2;357;87%
50;31.12.2021 05:18:35;-159,8696;Jack;Self play;Fail;2;357;87%
51;31.12.2021 05:19:01;-54,36609;Madox;Self play;Win;1;138;45%
52;31.12.2021 05:19:01;-65,95142;Jack;Self play;Fail;1;138;45%
53;31.12.2021 05:20:58;-217,4111;Madox;Self play;Win;2;569;64%
54;31.12.2021 05:20:58;-252,002;Jack;Self play;Fail;2;569;100%
55;31.12.2021 05:21:39;-89,2522;Madox;Self play;Fail;1;209;100%
56;31.12.2021 05:21:39;-81,82504;Jack;Self play;Win;1;209;50%
57;31.12.2021 05:21:54;-38,09211;Madox;Self play;Fail;1;75;82%
58;31.12.2021 05:21:54;-26,6206;Jack;Self play;Win;1;75;82%
59;31.12.2021 05:23:15;-155,9454;Madox;Self play;Win;2;383;97%
60;31.12.2021 05:23:15;-153,0512;Jack;Self play;Fail;2;383;97%
61;31.12.2021 05:23:37;-31,98546;Madox;Self play;Win;1;95;78%
62;31.12.2021 05:23:37;-38,72249;Jack;Self play;Fail;1;95;100%
63;31.12.2021 05:24:59;-143,0569;Madox;Self play;Win;2;388;100%
64;31.12.2021 05:24:59;-131,6168;Jack;Self play;Fail;2;388;29%
65;31.12.2021 05:25:16;-35,68272;Madox;Self play;Fail;1;84;100%
66;31.12.2021 05:25:16;-22,18352;Jack;Self play;Win;1;84;99%
67;31.12.2021 05:25:28;-30,62489;Madox;Self play;Fail;1;61;100%
68;31.12.2021 05:25:28;-12,81333;Jack;Self play;Win;1;61;100%
69;31.12.2021 05:26:46;-136,8491;Madox;Self play;Win;2;387;100%
70;31.12.2021 05:26:46;-136,6691;Jack;Self play;Fail;2;387;45%
71;31.12.2021 05:26:54;-10,52272;Madox;Self play;Win;1;42;100%
72;31.12.2021 05:26:54;-18,86773;Jack;Self play;Fail;1;42;100%
73;31.12.2021 05:26:57;-0,01474512;Madox;Self play;Win;1;14;100%
74;31.12.2021 05:26:57;-9,590065;Jack;Self play;Fail;1;14;100%
75;31.12.2021 05:28:16;-140,0046;Madox;Self play;Win;2;388;22%
76;31.12.2021 05:28:16;-146,9903;Jack;Self play;Fail;2;388;22%
77;31.12.2021 05:29:35;-154,7403;Madox;Self play;Win;2;409;96%
78;31.12.2021 05:29:35;-161,2807;Jack;Self play;Fail;2;409;96%
79;31.12.2021 05:30:23;-72,11653;Madox;Self play;Win;1;219;65%
80;31.12.2021 05:30:23;-84,72443;Jack;Self play;Fail;1;219;65%
