#;Time;RL points;Agent name;Learning type;Won Episode;Low health threshold;Critical low health threshold;Walk speed;Run speed;Sight range;Hear range;Attack range
1;22.12.2021 10:50:36;-1339,109;Madox;Self play;Fail;40;11;8;9;34;26;14
2;22.12.2021 10:50:36;-874,8271;Jack;Self play;Win;40;8;8;8;30;20;14
3;22.12.2021 10:50:46;-599,9427;Madox;Self play;Fail;40;8;5;8;30;20;10
4;22.12.2021 10:50:46;-228,542;Jack;Self play;Win;40;8;5;8;30;20;10
5;22.12.2021 10:52:27;-4310,422;Jack;Self play;Draw;40;8;5;8;30;20;10
6;22.12.2021 10:52:27;-4486,594;Madox;Self play;Draw;40;8;5;8;30;20;10
7;22.12.2021 10:54:09;-4216,704;Jack;Self play;Draw;40;8;5;8;30;20;10
8;22.12.2021 10:54:09;-4315,215;Madox;Self play;Draw;40;8;5;8;30;20;10
9;22.12.2021 10:54:33;-1133,17;Madox;Self play;Fail;40;8;5;8;30;20;10
10;22.12.2021 10:54:33;-720,3654;Jack;Self play;Win;40;8;5;8;30;20;10
11;22.12.2021 10:55:39;-2192,926;Madox;Self play;Win;40;8;5;8;30;20;10
12;22.12.2021 10:55:39;-2567,71;Jack;Self play;Fail;40;8;5;8;30;20;10
13;22.12.2021 10:57:42;-4781,629;Jack;Self play;Draw;40;8;5;8;30;20;10
14;22.12.2021 10:57:42;-4740,18;Madox;Self play;Draw;40;8;5;8;30;20;10
15;22.12.2021 10:58:13;-1102,054;Madox;Self play;Win;40;8;5;8;30;20;10
16;22.12.2021 10:58:13;-1491,746;Jack;Self play;Fail;40;8;5;8;30;20;10
17;22.12.2021 10:58:50;-1189,177;Madox;Self play;Win;40;8;5;8;30;20;10
18;22.12.2021 10:58:50;-1739,76;Jack;Self play;Fail;40;8;5;8;30;20;10
19;22.12.2021 11:00:34;-4717,481;Jack;Self play;Draw;40;8;5;8;30;20;10
20;22.12.2021 11:00:34;-4802,714;Madox;Self play;Draw;40;8;5;8;30;20;10
21;22.12.2021 11:00:54;-526,8964;Madox;Self play;Win;40;8;5;8;30;20;10
22;22.12.2021 11:00:54;-869,3969;Jack;Self play;Fail;40;8;5;8;30;20;10
23;22.12.2021 11:01:24;-975,6921;Madox;Self play;Win;40;8;5;8;30;20;10
24;22.12.2021 11:01:24;-1328,888;Jack;Self play;Fail;40;8;5;8;30;20;10
25;22.12.2021 11:01:51;-770,9471;Madox;Self play;Win;40;8;5;8;30;20;10
26;22.12.2021 11:01:51;-1178,25;Jack;Self play;Fail;40;8;5;8;30;20;10
27;22.12.2021 11:03:37;-4418,556;Jack;Self play;Draw;50;12;9;9;32;28;10
28;22.12.2021 11:03:37;-4480,908;Madox;Self play;Draw;60;11;7;9;38;28;14
29;22.12.2021 11:05:23;-4268,583;Jack;Self play;Draw;40;11;5;9;36;24;12
30;22.12.2021 11:05:23;-4082,814;Madox;Self play;Draw;55;12;7;12;32;20;14
31;22.12.2021 11:05:38;-748,9316;Madox;Self play;Fail;45;8;6;11;36;24;16
32;22.12.2021 11:05:38;-406,8303;Jack;Self play;Win;55;9;7;12;32;22;12
33;22.12.2021 11:06:14;-1489,547;Madox;Self play;Fail;45;12;5;10;38;22;16
34;22.12.2021 11:06:14;-1023,364;Jack;Self play;Win;40;10;5;11;34;28;16
35;22.12.2021 11:08:02;-4336,705;Jack;Self play;Draw;40;8;5;8;30;20;10
36;22.12.2021 11:08:02;-4321,903;Madox;Self play;Draw;40;8;5;8;30;20;10
37;22.12.2021 11:09:40;-3976,241;Jack;Self play;Draw;40;8;5;8;30;20;10
38;22.12.2021 11:09:40;-4117,808;Madox;Self play;Draw;40;8;5;8;30;20;10
39;22.12.2021 11:09:49;-453,419;Madox;Self play;Fail;40;8;5;8;30;20;10
40;22.12.2021 11:09:49;-140,4185;Jack;Self play;Win;40;8;5;8;30;20;10
41;22.12.2021 11:10:00;-165,5492;Madox;Self play;Win;40;8;5;8;30;20;10
42;22.12.2021 11:10:00;-482,3499;Jack;Self play;Fail;40;8;5;8;30;20;10
43;22.12.2021 11:11:52;-4122,609;Jack;Self play;Draw;40;8;5;8;30;20;10
44;22.12.2021 11:11:52;-4129,01;Madox;Self play;Draw;40;8;5;8;30;20;10
45;22.12.2021 11:13:10;-3217,056;Madox;Self play;Fail;40;8;5;8;30;20;10
46;22.12.2021 11:13:10;-2776,997;Jack;Self play;Win;40;8;5;8;30;20;10
47;22.12.2021 11:14:55;-4074,106;Jack;Self play;Draw;40;8;5;8;30;20;10
48;22.12.2021 11:14:55;-2724,469;Madox;Self play;Draw;40;8;5;8;30;20;10
49;22.12.2021 11:16:43;-3760,281;Jack;Self play;Draw;40;8;5;8;30;20;10
50;22.12.2021 11:16:43;-4770,809;Madox;Self play;Draw;40;8;5;8;30;20;10
51;22.12.2021 11:18:24;-3653,805;Jack;Self play;Draw;40;8;5;8;30;20;10
52;22.12.2021 11:18:24;-4683,163;Madox;Self play;Draw;40;8;5;8;30;20;10
53;22.12.2021 11:18:58;-1331,241;Madox;Self play;Fail;40;8;5;8;30;20;10
54;22.12.2021 11:18:58;-775,7488;Jack;Self play;Win;40;8;5;8;30;20;10
55;22.12.2021 11:20:42;-3523,048;Jack;Self play;Draw;60;9;5;9;30;22;14
56;22.12.2021 11:20:42;-4587,231;Madox;Self play;Draw;60;10;8;10;34;22;14
57;22.12.2021 11:22:25;-3721,598;Jack;Self play;Draw;60;11;5;8;32;24;14
58;22.12.2021 11:22:25;-4492,2;Madox;Self play;Draw;55;10;8;9;32;24;18
59;22.12.2021 11:24:00;-3710,303;Jack;Self play;Draw;40;9;9;9;34;20;18
60;22.12.2021 11:24:00;-4682,083;Madox;Self play;Draw;55;11;7;9;30;22;18
