#;Time;RL points;Agent name;Learning type;Won Episode;Low health threshold;Critical low health threshold;Walk speed;Run speed;Sight range;Hear range;Attack range
1;07.12.2021 22:45;-662,7417;Madox;Self play;Fail;50;12;1;6;30;20;11
2;07.12.2021 22:45;-567,3486;Jack;Self play;Win;45;8;2;8;28;21;11
3;07.12.2021 22:46;-772,6062;Madox;Self play;Fail;40;8;1;4;28;18;8
4;07.12.2021 22:46;-589,3303;Jack;Self play;Win;40;8;1;4;28;18;8
5;07.12.2021 22:46;-477,6341;Madox;Self play;Win;45;12;3;7;31;20;9
6;07.12.2021 22:46;-556,7302;Jack;Self play;Fail;60;8;2;5;30;20;8
7;07.12.2021 22:46;-367,9155;Madox;Self play;Win;40;8;1;4;28;18;8
8;07.12.2021 22:46;-420,8675;Jack;Self play;Fail;40;8;1;4;28;18;8
9;07.12.2021 22:47;-410,2519;Madox;Self play;Win;40;9;3;8;32;20;11
10;07.12.2021 22:47;-514,1552;Jack;Self play;Fail;50;10;1;5;28;19;8
11;07.12.2021 22:47;-968,6165;Madox;Self play;Win;45;8;4;6;31;19;12
12;07.12.2021 22:47;-1040,256;Jack;Self play;Fail;50;12;2;8;29;18;9
13;07.12.2021 22:48;-1406,654;Jack;Self play;Draw;40;8;1;4;28;18;8
14;07.12.2021 22:48;-2255,785;Madox;Self play;Draw;40;8;1;4;28;18;8
15;07.12.2021 22:49;-249,4167;Madox;Self play;Win;40;8;1;4;28;18;8
16;07.12.2021 22:49;-311,4182;Jack;Self play;Fail;40;8;1;4;28;18;8
17;07.12.2021 22:49;-595,4286;Madox;Self play;Fail;40;8;1;4;28;18;8
18;07.12.2021 22:49;-456,5385;Jack;Self play;Win;40;8;1;4;28;18;8
19;07.12.2021 22:49;-329,4788;Madox;Self play;Win;40;8;1;4;28;18;8
20;07.12.2021 22:49;-400,8314;Jack;Self play;Fail;40;8;1;4;28;18;8
21;07.12.2021 22:49;-164,1649;Madox;Self play;Win;40;8;1;4;28;18;8
22;07.12.2021 22:49;-212,5658;Jack;Self play;Fail;40;8;1;4;28;18;8
23;07.12.2021 22:50;-398,7155;Madox;Self play;Fail;40;8;1;4;28;18;8
24;07.12.2021 22:50;-387,367;Jack;Self play;Win;40;8;1;4;28;18;8
25;07.12.2021 22:51;-2058,2;Jack;Self play;Draw;60;9;1;6;32;21;8
26;07.12.2021 22:51;-2054,5;Madox;Self play;Draw;45;8;2;4;30;20;11
27;07.12.2021 22:54;-405,5104;Madox;Self play;Fail;55;9;3;10;30;20;9
28;07.12.2021 22:54;-340,8074;Jack;Self play;Win;50;10;3;8;28;22;10
29;07.12.2021 22:55;-558,8908;Madox;Self play;Win;40;8;3;6;28;18;8
30;07.12.2021 22:55;-630,5334;Jack;Self play;Fail;40;8;3;6;28;18;8
31;07.12.2021 22:56;-1945,181;Jack;Self play;Draw;40;8;3;6;28;18;8
32;07.12.2021 22:56;-1963,527;Madox;Self play;Draw;40;8;3;6;28;18;8
33;07.12.2021 22:57;-766,2238;Madox;Self play;Win;40;8;3;6;28;18;8
34;07.12.2021 22:57;-880,1632;Jack;Self play;Fail;40;8;3;6;28;18;8
35;07.12.2021 22:57;-412,5062;Madox;Self play;Fail;40;8;3;6;28;18;8
36;07.12.2021 22:57;-356,6038;Jack;Self play;Win;40;8;3;6;28;18;8
37;07.12.2021 22:57;-507,7753;Madox;Self play;Win;40;8;3;6;28;18;8
38;07.12.2021 22:57;-552,3727;Jack;Self play;Fail;40;8;3;6;28;18;8
39;07.12.2021 22:58;-422,5479;Madox;Self play;Win;40;8;3;6;28;18;8
40;07.12.2021 22:58;-490,2498;Jack;Self play;Fail;40;8;3;6;28;18;8
41;07.12.2021 22:58;-596,3417;Madox;Self play;Fail;60;12;4;6;28;21;11
42;07.12.2021 22:58;-519,8021;Jack;Self play;Win;60;8;6;6;31;21;9
43;07.12.2021 22:58;-118,409;Madox;Self play;Fail;40;8;3;6;28;18;8
44;07.12.2021 22:58;-77,95926;Jack;Self play;Win;40;8;3;6;28;18;8
45;07.12.2021 22:59;-563,3896;Madox;Self play;Fail;40;8;3;6;28;18;8
46;07.12.2021 22:59;-501,8462;Jack;Self play;Win;40;8;3;6;28;18;8
47;07.12.2021 23:00;-1832,489;Madox;Self play;Fail;40;8;3;6;28;18;8
48;07.12.2021 23:00;-1660,967;Jack;Self play;Win;40;8;3;6;28;18;8
49;07.12.2021 23:01;-579,7602;Madox;Self play;Fail;40;8;3;6;28;18;8
50;07.12.2021 23:01;-489,2202;Jack;Self play;Win;40;8;3;6;28;18;8
51;07.12.2021 23:01;-496,2574;Madox;Self play;Fail;50;8;6;8;32;21;9
52;07.12.2021 23:01;-428,8549;Jack;Self play;Win;40;10;4;8;31;19;8
