#;Time;RL points;Agent name;Learning type;Won Episode;Episode time [s];Interest in enemy [%]
1;27.12.2021 23:11:33;-441,9395;Madox;Self play;Fail;98;100%
2;27.12.2021 23:11:33;-433,139;Jack;Self play;Win;98;100%
3;27.12.2021 23:12:31;-1330,594;Madox;Self play;Draw;299;89%
4;27.12.2021 23:12:31;-1333,992;Jack;Self play;Draw;299;89%
5;27.12.2021 23:13:30;-1312,397;Madox;Self play;Draw;300;81%
6;27.12.2021 23:13:30;-1328,794;Jack;Self play;Draw;300;81%
7;27.12.2021 23:13:43;-320,7978;Madox;Self play;Fail;72;100%
8;27.12.2021 23:13:43;-323,3982;Jack;Self play;Win;72;100%
9;27.12.2021 23:27:21;-1495,695;Madox;Self play;Draw;299;97%
10;27.12.2021 23:27:21;-1495,695;Jack;Self play;Draw;299;97%
11;27.12.2021 23:35:26;-379,1876;Madox;Self play;Win;85;100%
12;27.12.2021 23:35:26;-383,5878;Jack;Self play;Fail;85;100%
13;27.12.2021 23:36:07;-1023,165;Madox;Self play;Fail;228;100%
14;27.12.2021 23:36:07;-1014,266;Jack;Self play;Win;228;15%
15;27.12.2021 23:36:26;-455,5436;Madox;Self play;Fail;101;100%
16;27.12.2021 23:36:26;-447,7432;Jack;Self play;Win;101;100%
17;27.12.2021 23:37:20;-1342,091;Madox;Self play;Draw;299;0%
18;27.12.2021 23:37:20;-1335,092;Jack;Self play;Draw;299;0%
19;27.12.2021 23:38:17;-1341,391;Madox;Self play;Draw;300;70%
20;27.12.2021 23:38:17;-1323,394;Jack;Self play;Draw;300;53%
21;27.12.2021 23:38:49;-750,9655;Madox;Self play;Win;169;30%
22;27.12.2021 23:38:49;-738,1696;Jack;Self play;Fail;169;30%
23;27.12.2021 23:39:01;-261,2781;Madox;Self play;Fail;59;100%
24;27.12.2021 23:39:01;-266,0786;Jack;Self play;Win;59;100%
25;27.12.2021 23:39:12;-290,4863;Madox;Self play;Win;64;100%
26;27.12.2021 23:39:12;-290,1862;Jack;Self play;Fail;64;100%
27;27.12.2021 23:39:26;-305,1924;Madox;Self play;Fail;68;100%
28;27.12.2021 23:39:26;-309,9929;Jack;Self play;Win;68;100%
