#;Time;RL points;Agent name;Learning type;Won Episode;Low health threshold;Critical low health threshold;Walk speed;Run speed;Sight range;Hear range;Attack range
1;23.12.2021 13:45:53;-4574,812;Jack;Self play;Draw;50;10;7;12;32;26;14
2;23.12.2021 13:45:53;-4553,716;Madox;Self play;Draw;50;8;9;11;38;22;18
3;23.12.2021 13:46:15;-571,037;Madox;Self play;Win;40;8;5;8;32;28;16
4;23.12.2021 13:46:15;-1065,246;Jack;Self play;Fail;60;12;8;10;38;24;12
5;23.12.2021 13:48:01;-4850,232;Jack;Self play;Draw;50;12;6;10;30;22;10
6;23.12.2021 13:48:01;-4860,63;Madox;Self play;Draw;60;8;6;8;38;28;16
7;23.12.2021 13:49:46;-4493,99;Jack;Self play;Draw;60;10;9;12;36;20;14
8;23.12.2021 13:49:46;-4479,688;Madox;Self play;Draw;45;11;9;11;34;24;16
9;23.12.2021 13:51:32;-4215,789;Jack;Self play;Draw;45;10;9;9;34;24;16
10;23.12.2021 13:51:32;-4341,733;Madox;Self play;Draw;60;8;6;11;34;26;18
11;23.12.2021 13:53:16;-4610,934;Jack;Self play;Draw;40;12;5;8;38;24;12
12;23.12.2021 13:53:16;-4468,583;Madox;Self play;Draw;60;11;5;12;32;28;16
13;23.12.2021 13:54:59;-4800,817;Jack;Self play;Draw;55;12;7;9;32;24;18
14;23.12.2021 13:54:59;-4633,253;Madox;Self play;Draw;55;10;8;8;32;22;16
15;23.12.2021 13:56:41;-4480,396;Jack;Self play;Draw;55;10;5;8;30;24;14
16;23.12.2021 13:56:41;-4425,473;Madox;Self play;Draw;40;12;9;8;38;20;18
17;23.12.2021 13:57:21;-1130,673;Madox;Self play;Win;45;11;8;8;32;28;18
18;23.12.2021 13:57:21;-1722,249;Jack;Self play;Fail;45;10;6;9;30;26;16
19;23.12.2021 13:59:06;-3926,358;Jack;Self play;Draw;60;12;7;10;34;22;12
20;23.12.2021 13:59:06;-4056,321;Madox;Self play;Draw;40;12;8;9;30;22;14
21;23.12.2021 14:00:49;-4170,985;Jack;Self play;Draw;55;8;7;9;34;22;14
22;23.12.2021 14:00:49;-4023,212;Madox;Self play;Draw;50;8;5;10;30;26;10
23;23.12.2021 14:01:15;-1282,327;Madox;Self play;Fail;60;9;8;8;30;20;12
24;23.12.2021 14:01:15;-917,3306;Jack;Self play;Win;40;11;9;9;36;28;12
25;23.12.2021 14:01:46;-962,9999;Madox;Self play;Win;40;8;5;8;30;20;10
26;23.12.2021 14:01:46;-1277,101;Jack;Self play;Fail;40;8;5;8;30;20;10
27;23.12.2021 14:03:29;-3856,285;Jack;Self play;Draw;40;8;5;8;30;20;10
